"Subjects" "Acivity" "Average Body X Acc" "Average Body Y Acc" "Average Body z Acc" "Average Body x Gyro" "Average Body y Gyro" "Average Body z Gyro" "Average Total X Acc" "Average Total y Acc" "Average Total z Acc"
"V1" "Test" -0.00195216134381579 0.00994983693097254 -0.00148487588974359 0.147847486630435 0.0114786254808662 NA NA -0.161463585348177 NA
"V1" "Train" 0.00302624955737569 -0.000488433141804745 -0.000778519392025966 0.0935480397163195 0.0344102224678757 0.0517157057235897 NA -0.18521079454576 NA
"V10" "Test" -0.0369652514867346 -0.0244922904517483 -0.0226439217417924 -0.178072130262914 -0.031408931233205 -0.0608195527670007 -0.0847987495182482 -0.0134814055393627 -0.143943780136253
"V10" "Train" -0.0327172224959666 -0.0177510425020575 -0.0150976810949438 -0.148416076880998 -0.0725096336877637 -0.0580127196520317 -0.0961090916387469 -0.00193424866540819 -0.185230040263394
"V100" "Test" -0.00221057379851742 -0.000490368828797519 -0.0050843335328147 -0.0251102864971323 0.00162750128830169 -0.0100342685039341 -0.0764173598390411 0.00755304603105187 -0.117108233445821
"V100" "Train" 0.00748505961111036 -0.00833433429544305 -0.00288832269937699 -0.0179483256852509 -0.000258452536032379 -0.00871701087755722 -0.0881314709237363 0.0350203130075283 -0.148891524033786
"V101" "Test" -0.00337951534503897 0.0010049568236373 -0.00137296410485919 -0.0010720280103448 0.00413235431336386 0.00427582370172515 0.824298809210599 0.00821083073095187 0.0859006432694296
"V101" "Train" 0.0142260682845359 -0.00319680809627561 0.000606302979268653 0.00394712925294643 -0.00626921123614735 0.000421037875258333 0.805697503034448 0.0347111052325644 0.0954303182248006
"V102" "Test" -0.00715216738500248 -0.00129244804328334 -0.00411229602892395 -0.0204678534670906 0.00704118295058764 -0.0113849500422771 -0.0757559985342466 0.00860753242523553 -0.114330783244458
"V102" "Train" 0.00951990541828382 -0.00519374958847196 -0.00171267861719898 -0.0153737193496182 0.00029553000935039 -0.00715264501012457 -0.0869449096344297 0.0354932692461114 -0.147539230607632
"V103" "Test" -0.00417776931522518 -0.000519796366896781 -0.000127925741730173 0.00507692409166052 0.00534834987743508 0.00634551176754101 0.82801019494622 0.00869023454322868 0.0871004445346115
"V103" "Train" 0.01346456265349 -0.00166722332108217 0.0014150682918754 0.00426199468528493 -0.00731091885426026 0.000461622415689321 0.807154673381538 0.0371696021982478 0.0949165567961243
"V104" "Test" -0.0114528888551259 -0.000420509609969354 -0.000952194406212647 -0.0163608806043736 0.00343449835179712 -0.00982824347160542 -0.0756950368377242 0.00846067831469056 -0.11149307469431
"V104" "Train" 0.00971447402001113 -0.00368063433187966 -0.00114874345061815 -0.0108711039357829 -0.000121732578564213 -0.00461114043524946 -0.0867683212308369 0.0385665177874552 -0.149436860897841
"V105" "Test" -0.00523417615461629 0.00354648777506135 0.00194257091986526 0.0107556992116005 0.00443717030428007 0.00295657291760827 0.829847801388822 0.00936895811650519 0.0865604131039735
"V105" "Train" 0.011376766408264 -0.00190119898496541 0.00235900450374651 0.00521826427576289 -0.00965448952926127 0.00315411781423506 0.808056164282797 0.0382369534858824 0.0941514315170701
"V106" "Test" -0.0112831576121173 0.00179657647806442 0.000311481270865488 -0.00806501189595091 0.00588959695633333 -0.0107101352395902 -0.0747679372653061 0.0106228549954909 -0.112479912469071
"V106" "Train" 0.00906123411905137 -0.00454434876175974 0.00100595232392252 -0.0132336682924012 -0.00518054487907658 -0.00226489209787129 -0.0874633200555187 0.0384640464346607 -0.151849124749877
"V107" "Test" -0.00441296439151407 0.000756677377258409 0.000634325603580629 0.0132460345612531 0.00510900601408623 0.00745581416901574 0.830813579063406 0.0123460822492655 0.0869360546542118
"V107" "Train" 0.00906067814547989 -0.00184304788348277 0.00313625302799674 0.00218468399445785 -0.00803656799192939 0.00231547345335836 0.807359555631007 0.0381441294521869 0.0951310021842924
"V108" "Test" -0.00684924267805771 -0.00180453630796951 -0.000765285733710853 -0.00468404283518335 0.00288914787594994 -0.0112900833540132 -0.0756835245263889 0.0124166312779063 -0.110410148894482
"V108" "Train" 0.00819140624349135 -0.00275309169399329 0.000636599727259658 -0.019029726714475 -0.0123781618197803 -0.00323606692619583 -0.0878641667204846 0.037271549910321 -0.150272020935249
"V109" "Test" -0.00125411980436706 -0.000225004177551176 0.00113084422953512 0.0131112581503077 0.00787842063334824 0.00523950153663131 0.830444609449588 0.0126414944367049 0.088536593668072
"V109" "Train" 0.00474581734777351 0.00124775424233985 0.00414565214934095 -0.000779898458524933 -0.0110874866327707 0.00195751755257961 0.806450271292061 0.0372172059817068 0.0963949764778499
"V11" "Test" 0.00905529707365598 0.0140673245397172 0.00897507044780263 -0.00629553436979769 0.0218904730970892 0.0225229595609534 0.816659281912692 -0.00601362136078108 0.0909109614004446
"V11" "Train" 0.0173990831137452 0.0110437466834718 0.0106920544162108 0.0151673879974255 0.0193942888507702 0.023474375843833 0.809252016734379 0.00352117805257018 0.0991325948811093
"V110" "Test" -0.00245023003914007 0.00163030596445103 0.000733272196041989 0.00319849463549349 0.00436863566805573 -0.0120396679032848 -0.0757890806722222 0.0120585195915393 -0.10981024583049
"V110" "Train" 0.00293519723413001 -0.00121217982616003 -0.000290457903682985 -0.0168093222176982 -0.0136621966767601 -0.000713883814450607 -0.0875168700597167 0.0368203872037159 -0.148159099515441
"V111" "Test" 0.00127266693210072 0.00183631437602591 0.0015055305911876 0.0125809112513005 0.0124671415959453 0.0063983309187238 0.830565139010843 0.0111202549048559 0.0884418292587913
"V111" "Train" 0.000123649205370052 0.00208791962286513 0.00281305088577307 0.00218554662210534 -0.00992236624567392 0.00338710521036872 0.807029356377456 0.0374166089139212 0.096938110802894
"V112" "Test" 0.000854008360340387 0.00377228263549621 0.00152088296892252 0.0122003534213284 0.00773538474019378 -0.0102443130176065 -0.0734802432917807 0.012145614571522 -0.112834181739239
"V112" "Train" 0.000790247506033274 -0.00185480194082732 -0.00175326349393586 -0.0140289207645859 -0.00723399877646639 0.00318861076367962 -0.0882312384377899 0.0380622885289424 -0.147070810901865
"V113" "Test" 0.00447937283015084 0.000666842571259701 0.00342019985754072 0.0198605523070414 0.0196798430829547 0.00583337563748924 0.830592173526436 0.0124192284187027 0.088956628354838
"V113" "Train" -0.00216995724242378 0.000842457061844992 0.00268107465293474 0.00694469164825805 -0.00372145423213641 0.00606391550274184 0.80815496380353 0.0385720068087388 0.0960576560233235
"V114" "Test" 0.00460869898759657 0.0027012990563588 0.00411595473090041 0.0134329084746719 0.00770360198309409 -0.00504650899156613 -0.0711800453442953 0.0122246663813747 -0.113900409232174
"V114" "Train" -0.0034563486890485 -0.00301524916029135 -0.00123295442599217 -0.00881436029157289 -0.00273491560467012 0.00247671205410767 -0.087395057663 0.0389128847990581 -0.148607749122839
"V115" "Test" 0.00507510847578865 -0.00121163690387416 0.00654624849918171 0.0269010434209596 0.0218417641003798 0.0109825743616405 0.832285634656155 0.012436521545103 0.0887478937121007
"V115" "Train" -0.00650361744409213 -0.000913663342423937 0.00218134696348021 0.0125364167023539 0.00470727918514292 0.00561278953616932 0.808342595493474 0.0399318055578735 0.0954936543597536
"V116" "Test" 0.00130766710678834 0.00350278366461552 0.0048894737250452 0.017254132036557 0.0150134203216237 0.00371373903068344 -0.0716105880417808 0.0139311539627689 -0.116496435353981
"V116" "Train" -0.00665178622839429 -0.00290898287806029 -0.000645542042353989 -0.0057746912632775 0.000443644591335758 0.00277918186637239 -0.086772194614512 0.0398446020935102 -0.150938198828911
"V117" "Test" 0.00198201993154701 0.00275397998237916 0.00605493237378771 0.0240476790892348 0.0252749989090203 0.0124361339819015 0.833384037616081 0.0138360605490909 0.0887835977355597
"V117" "Train" -0.00745365494975937 -0.0019950365097304 0.00362068707997848 0.0159128391898993 0.00364139325166835 0.00745068201667097 0.808228099488918 0.0409888827205259 0.094374636664864
"V118" "Test" 0.00134780554179097 0.00584720701783856 0.00301460048620426 0.0133778120572164 0.0176529789717461 -0.000409841296147988 -0.0703791746267124 0.0118988647132048 -0.116110330143212
"V118" "Train" -0.00844799442970043 -6.47831188909203e-05 -0.000347890410594579 -0.00205980961454617 0.000668370773007147 0.00206680775179934 -0.0863635230434783 0.0401776100506163 -0.153051431774061
"V119" "Test" 0.00437053780841332 0.00360622753971309 0.00459007994702901 0.0204447059720975 0.0263808823599293 0.00993075548001354 0.830925885395176 0.00977009780500543 0.0871173879714449
"V119" "Train" -0.00654803890677459 0.00104406169067338 0.00335270982248517 0.0181397009426372 0.00125304252023167 0.00882821698077671 0.807990853083473 0.0399798262310459 0.0954976171252312
"V12" "Test" -0.021437497266193 -0.0205582569270972 -0.0191064393807328 -0.156765948577738 -0.0290195447441683 -0.0456654466098131 -0.0847002846888889 -0.00798416392602486 -0.142306160273108
"V12" "Train" -0.0181848419292514 -0.0177577255590018 -0.0135402031056688 -0.138602741557576 -0.0655742764841291 -0.0465647436862092 -0.0955624032817741 0.00504764919083154 -0.180094717751056
"V120" "Test" 0.0064643085557628 0.00529121241253442 0.00271844583944536 0.00962418340017368 0.0133884021904738 -0.000999314108323296 -0.0678360765026846 0.00780016702157432 -0.118362876388892
"V120" "Train" -0.0072930249252914 0.00191087846891427 -0.000330816734909912 0.00356310648795294 -0.00584913901400612 0.0019975610879479 -0.0848625982652802 0.0386721211106282 -0.150382639653022
"V121" "Test" 0.00490500875259015 0.000203458929570903 0.00431940892380551 0.0199272296943409 0.0191418952190745 0.0106493809263668 0.827054613222817 0.00686592070388043 0.0855827581213527
"V121" "Train" -0.00603441679918863 0.000493450346487281 0.00304450565704592 0.0239019282103893 0.000687303199676512 0.0117572847430568 0.808266035353326 0.0383386150811404 0.0958031325467716
"V122" "Test" 0.00949130478160731 0.00231595199186875 0.00281092703032374 0.00519592202756112 0.0158544778310139 0.000982569372721831 -0.067665085792517 0.00762513266111314 -0.116267745681405
"V122" "Train" -0.00833902164754701 -0.000707351435193599 0.000236476990014263 0.00660061617517126 -0.00741256241541158 0.001833500056208 -0.0850786224713666 0.0373956407189654 -0.151788883128635
"V123" "Test" 0.0079289867653933 -0.00140393111624553 0.00478636785758215 0.0113314314697869 0.0143937795330365 0.0115595657584731 0.824163177096307 0.00705614868187411 0.0878663763028694
"V123" "Train" -0.00614225181225549 0.000554463973250161 0.00470058882236586 0.0212797596992401 -0.00247104658047715 0.0135285702826132 0.80851007026525 0.0382962815359077 0.0966712791633998
"V124" "Test" 0.00690714235522969 0.00264255835292239 0.00367379520554075 -0.00179110065053524 0.0179167426494432 -0.00157592743641451 -0.0670764187520271 0.00694505666448327 -0.113611842412218
"V124" "Train" -0.00886344579749472 0.00170547462239296 0.000981965881262818 0.00470081259820394 -0.00342034600291378 0.000707383274690778 -0.0849070432132322 0.0378847694406675 -0.15121571077236
"V125" "Test" 0.00498371646729042 -0.000660232150949895 0.00539665263551223 0.0106395045864279 0.0210207625165117 0.00960726321752195 0.824252306200376 0.00671560790940665 0.0860690593948015
